00481,BT PANJANG TEMP BUS PK
16029,Gloria Man, Gloria Man
16031,Opp S'pore Science Pk II, S'pore Science Pk II对面
16039,S'pore Science Pk II, S'pore Science Pk II
16041,OPP LUXE VILLE, The Longhouse对面
16049,WHITEHAVEN, 大牌Westvale
16051,The Crystal Tabernacle Ch, The Crystal Tabernacle Ch
16059,Jamiyah Halfway Hse, Halfway Hse对面
16061,Opp Heng Mui Keng Terr, Heng Mui Keng Terr对面
16069,Heng Mui Keng Terr, Heng Mui Keng Terr
16071,Opp Pasir Panjang PO, Opp Pasir Panjang PO
16079,Bef Pasir Panjang PO, Bef Pasir Panjang PO
16081,Aft Palm Green Condo, Palm Green之后
16089,Aft Clementi Rd, Clementi Rd对面
16091,Opp SIT Dover, 杜弗SIT对面
16099,SIT Dover, 杜弗SIT
16101,Inst Of Micro-Electronics, 大牌electronics对面
16109,The Alpha, The Alpha
16111,Aries, 大牌Aries
16119,Teletech Pk, Teletech Pk
16121,Galen, 大牌Galen
16131,Opp Kent Ridge Ter, Opp Kent Ridge Ter
16139,Bef Kent Ridge Ter, Bef Kent Ridge Ter
16141,Tentera Diraja Mque, Diraja Mque对面
16149,NUS Fac Of Architecture, NUS Fac of Architecture
16151,The Japanese Pr Sch, The Japanese Pr Sch
16159,NUS Fac Of Engrg, NUS Fac of Engrg
16161,Nus Museums, 大牌Museum
16169,NUS Raffles Hall, 大牌Hall对面
16171,Yusof Ishak Hse, Ishak Hse对面
16179,Opp Yusof Ishak Hse, Opp Yusof Ishak Hse
16181,Ctrl Lib, Ctrl Lib
16189,Computer Ctr, Computer Ctr
16191,Opp NUS Fac Of Architect, NUS Fac of Architect对面
16199,NUS Fac Of Design & Env, Fac of Design & Env对面
16201,Barossa Gdns, Barossa Gdns
16209,HORIZON RESIDENCES, Barossa Gdns对面
16211,Wharves Bldg, Wharves Bldg
16219,Opp Wharves Bldg, Wharves Bldg对面
16221,Opp Haw Par Villa Stn, Haw Par Villa Stn对面
16229,Haw Par Villa Stn, Haw Par Villa Stn
16231,Wholesale Ctr, Wholesale Ctr
16239,Opp Wholesale Ctr, Wholesale Ctr对面
16241,Bef West Coast Pk, Bef West Coast Pk
16249,Bef Wholesale Ctr, Wholesale Ctr对面
16891,Opp Blk 420A, 大牌420A对面
16991,Opp Nan Hua High Sch, Nan Hua High Sch对面
17009,Clementi Int, Clementi Int
17011,Opp Varsity Pk, Varsity Pk对面
17019,Varsity Pk, Varsity Pk
17021,Waseda S Snr High Sch, S Snr High Sch对面
17029,Opp Waseda S Snr High Sch, Waseda S Snr High Sch对面
17031,Kent Ridge Sec Sch, Kent Ridge Sec Sch
17039,Opp Kent Ridge Sec Sch, Kent Ridge Sec Sch对面
17041,Blk 726 Clementi West Mkt, Clementi West Mkt对面
17049,Blk 601, 大牌601
17051,Opp Regent Pk, 大牌436
17059,Regent Pk, Regent Pk
17061,Blk 701, 大牌701
17069,Opp Blk 701, 大牌701对面
17071,Blk 513, 大牌513
17079,Blk 512, 大牌512
17081,Aft West Coast Highway, West Coast之后
17091,Aft Clementi Ave 1, 义顺2道之后
17099,YALE-NUS COLLEGE, Dover Rd对面
17101,Blk 352, 大牌352
17109,Opp Blk 352, 大牌352对面
17111,Blk 343, 大牌343
17119,Opp Blk 343, 大牌343对面
17121,Blk 610, 大牌610
17129,Aft NUS High Sch, 国大中学之后
17131,Clementi Flyover, 金文泰立交桥
17139,Aft Clementi Swim Cplx, 金文泰游泳池之后
17141,Clementi Stadium, 金文泰体育场
17149,Blk 426, 大牌426
17151,Blk 410, 大牌410
17159,Blk 365, 大牌365
17161,Opp Blk 329, 大牌329对面
17169,Blk 329, 大牌329
17171,Clementi Stn, Clementi Stn
17179,Clementi Stn, Clementi Stn
17181,Opp Blk 317, 大牌317对面
17189,Blk 317, 大牌317
17191,NUS High Sch, 大牌Sch对面
17201,Blk 308, 大牌308
17211,Bet Blks 315/318, 大牌318对面
17219,Blk 376, 大牌376
17221,Blk 377, 大牌377
17229,Blk 335, 大牌335
17239,NTUC Fairprice, 大牌Fairprice
17241,Blk 334, 大牌334
17249,Blk 355, 大牌355
17251,Opp Blk 408, 大牌408对面
17259,Blk 408, 大牌408
17269,Blk 730, 大牌730
17279,Blk 723, 大牌723
17289,West Coast CC, 大牌CC对面
17291,West Coast Pk, Coast Pk对面
17299,Opp West Coast Pk, Opp West Coast Pk
17301,Opp West Coast View, 大牌111
17309,West Coast View, 大牌112
17311,Emerson Process, Emerson Process
17319,Blk 716, 大牌716
17321,Tien Wah Press Bldg, Tien Wah Press Bldg
17329,Blk 705, 大牌705
17331,Opp Blk 518, 大牌518对面
17339,Blk 518, 大牌518
17351,Aft Clementi Rd, Clementi Rd对面
17359,Bef Clementi Rd, Clementi Rd对面
17361,Opp West Coast Link, Opp West Coast Link
17369,Aft West Coast Link, West Coast之后
17371,Blk 201, 大牌201
17379,Blk 304, 大牌304
17381,West Bay Resort Condo, West Bay Resort Condo
17389,Opp West Bay Resort Condo, West Bay Resort Condo对面
17399,Opp Freesia Woods Condo, Opp Freesia Woods Condo
17409,Hse No. 90, 大牌90对面
17419,Sunset Way P/G, 大牌G对面
17429,Aft Sunset Vale, Sunset Vale对面
17439,LP 36, 大牌36
18011,SP Jain, SP Jain
18019,Opp SP Jain, SP Jain对面
18021,Opp GEMPLUS, GEMPLUS对面
18029,Tempco Mfg, Tempco Mfg
18041,Normanton Pk, Normanton公园
18049,Opp Normanton Pk, Normanton公园对面
18051,One-North Stn, 纬壹车站
18059,Opp One-North Stn, 纬壹车站对面
18061,Blk 71, 大牌71
18069,Opp Blk 71, 大牌71对面
18071,NUH, NUH
18079,Opp NUH, 大牌NUH
18081,Blk 55, 大牌55
18089,S'pore Post, 新加坡邮局
18099,Ayer Rajah Bus Pk, 亚逸拉惹巴士公园
18101,PSB Science Pk Bldg, PSB Science Pk Bldg
18109,Opp PSB Science Pk Bldg, PSB Science Pk Bldg对面
18111,Fairfield Meth Pr Sch, Fairfield Meth Pr Sch
18119,Opp Fairfield Meth Pr Sch, Fairfield Meth Pr Sch对面
18121,Opp Ayer Rajah Ind Est, Ayer Rajah Ind Est对面
18129,Ayer Rajah Ind Est, Ayer Rajah Ind Est
18131,Science Pk, 科学公园
18141,Aft Anglo-Chinese JC, Ｇｅｙｌａｎｇ　Chinese　JC　之后
18149,Opp Anglo-Chinese JC, Opp Anglo-Chinese JC
18151,Opp One-North Stn/Galaxis, 大牌Stn对面
18159,One-North Stn/Galaxis, north Stn对面
18171,Bef Weyhill Cl, Weyhill Cl对面
18179,Opp Weyhill Cl, Weyhill Cl对面
18181,Opp Tanglin Trust Sch, Opp Tanglin Trust Sch
18189,Tanglin Trust Sch, Trust Sch对面
18191,Bef Whitchurch Rd, Whitchurch Rd对面
18199,Aft Whitchurch Rd, Whitchurch Rd对面
18201,Mediacorp Campus, Bef Jln Hang Jebat
18211,Infinite Studios, Bef Jln Hang Jebat
18221,NUH, NUH
18239,Opp NUH, 大牌NUH
18241,PSB Science Pk Annex, PSB Science Pk Annex
18249,Aft The Pasteur, The Pasteur对面
18251,Opp Reuters, Opp Reuters
18261,Opp DSO Natl Laboratories, Opp DSO Natl Laboratories
18269,Bef Reuters, Bef Reuters
18271,Blk 85, 大牌85
18279,Opp Blk 85, 大牌85对面
18281,The Rutherford, The Rutherford
18289,Opp The Rutherford, The Rutherford对面
18301,Lim Seng Tjoe Bldg (LT 27), Seng Tjoe Bldg (LT 27)对面
18309,Blk S17, 大牌S17
18311,Blk S12, 大牌S12
18319,Opp University Hall, University Hall对面
18321,Opp University Health Ctr, Opp University Health Ctr
18329,University Health Ctr, Health Ctr对面
18331,Kent Ridge Stn Exit A/NUH, Ridge Stn对面
18339,Opp Kent Ridge Stn Exit A, Opp Kent Ridge Stn
19011,Blk 19A CP, 大牌CP对面
19019,Opp Blk 19A CP, Opp Blk 19A CP
19021,SP SMA, SP SMA
19029,Opp SP SMA, 大牌SMA对面
19031,Dover Stn, Dover Stn
19039,Dover Stn, Dover Stn
19041,Opp Sch Of Science & Tech, Sch Of Science & Tech对面
19049,Sch Of Science & Tech, Of Science & Tech对面
19051,New Town Sec Sch, Opp Transview Golf Club
19059,University Town, Golf Club对面
19061,Ayer Rajah Telecoms, Rajah Telecoms对面
19069,Opp Ayer Rajah Telecoms, Opp Ayer Rajah Telecoms
19071,Opp Acs Independent, Opp United World College
19079,Bef Dover Ct Prep Sch, Dover Ct Prep Sch对面
19081,Opp ACS Boarding Sch, Opp ACS Boarding Sch
19089,Acs Independent, World College对面
19091,S'pore Poly, S'pore Poly
19099,Opp S'pore Poly, S'pore Poly对面
20011,Blk 506, 大牌506
20019,Blk 431, 大牌431
20021,NEWEST, Hong Leong购物中心
20029,OPP NEWEST, Hong Leong 购物中心
20031,The Infiniti, The Infiniti
20039,Opp The Infiniti, The Infiniti对面
20051,Cycle & Carriage, Cycle & Carriage
20059,Opp Cycle & Carriage, Cycle & Carriage对面
20061,Aft Jurong Town Hall Rd, 裕廊大会堂路之后
20069,Bef Jurong Town Hall Rd, 裕廊大会堂路之前
20081,Carrier S'pore, Carrier S'pore
20089,Opp Carrier S'pore, Carrier S'pore对面
20101,Nan Hua Pr Sch, Nan Hua Pr Sch
20109,Blk 203, 大牌203
20121,Opp Blk 51, 大牌51对面
20129,Bet Blks 50/51, 大牌51对面
20131,S'pore Food Industries Bldg, S'pore Food Ind Bldg
20139,Opp Angliss Bldg, Angliss Bldg对面
20141,Opp Blk 408, 大牌408对面
20149,Blk 408, 大牌408
20151,Opp Blk 411, 大牌411对面
20159,Blk 411, 大牌411
20161,Opp Blks 34/35, 大牌35对面
20169,Blk 35, 大牌35
20171,Opp Blk 47, 大牌47对面
20179,Aft Teban Gdns Rd, Teban Gdns之后
20181,Ayer Rajah CC, 大牌CC对面
20189,Opp Ayer Rajah CC, Opp Ayer Rajah CC
20191,Blk 407, 大牌407
20199,Blk 410, 大牌410
20201,Teban Gdn PO, 大牌PO对面
20209,Bef Jurong Town Hall Rd, 裕廊大会堂路之前
20211,Blk 41, 大牌41
20219,Opp Blk 41, 大牌41对面
20231,Bef Hasanah Mque, Hasanah Mque对面
20239,Aft Hasanah Mque, Hasanah Mque对面
20241,Opp Blk 51, 大牌51对面
20249,Blk 54, 大牌54
20251,Bef Teban Gdns Rd, Bef Teban Gdns Rd
20259,C'wealth Sec Sch, Sec Sch对面
20261,Aft Pandan Gdns, Pandan Gdns对面
20269,Bef Pandan Gdns, Pandan Gdns对面
20271,Opp German Ctr, German Ctr对面
20281,Opp The Japanese Sec Sch, The Japanese Sec Sch对面
20289,The Japanese Sec Sch, The Japanese Sec Sch
20291,Tanglin Sec Sch, Sec Sch对面
20299,Opp Tanglin Sec Sch, Opp Tanglin Sec Sch
20309,Blk L Pandan Light Ind Pk, 大牌19
20319,Blk T Pandan Light Ind Pk, 大牌24
20329,S'pore Food Ind, Food Ind对面
20331,Vejoil Pte Ltd, Pte Ltd对面
20341,Pan Tech Ind Cplx, Pan Tech Ind Cplx
21011,Aft Jurong Lake, Jurong Lake对面
21019,Aft Yuan Ching Rd, Yuan Ching之后
21021,Bef Jurong Port Rd, Bef Jurong Port Rd
21029,AFT CORP PL, Corporation Pl对面
21041,Aft Jln Terusan, Jln Terusan对面
21049,Bef Jln Terusan, Jln Terusan对面
21051,Bef Penjuru Rd
21059,Aft Penjuru Rd
21069,Bef Jln Tepong, Jln Tepong对面
21071,Jurong Abattoir, Jurong Abattoir
21079,Opp Jurong Abattoir, Jurong Abattoir对面
21089,Bef Jln Buroh, Jln Buroh对面
21099,Jurong Island Checkpt, Island Checkpt对面
21109,Ctrl Fish Proc Fty, Ctrl Fish Proc Fty
21111,Aft Jurong Pier Rd, 义顺2道之后
21119,Bef Jurong Pier Rd, Bef Jurong Pier Rd
21121,SPC Svc Stn, 大牌Stn对面
21129,Opp SPC Svc Stn, Opp SPC Svc Stn
21131,Bef Jurong Port Rd, Bef Jurong Port Rd
21139,Aft Jurong Port Rd, 义顺2道之后
21141,Aft Jln Buroh, Jln Buroh对面
21149,Jurong Port Workshops, Port Workshops对面
21151,CWT Distripark, 大牌Distripark
21159,Sin Soon Huat, Soon Huat对面
21161,Opp Jurong JC, 大牌220
21169,Jurong JC, 大牌JC
21171,OPP CORP PL, Corporation Pl对面
21179,CORP PL, Corporation Pl
21181,Opp Blk 161, 大牌5对面
21189,Blk 161, 大牌5
21191,Jurong Stadium, 裕廊体育场
21199,Opp Jurong Stadium, 裕廊体育场对面
21201,Sime Rengo Packaging Ltd, Sime Rengo Packaging Ltd
21209,Opp Sime Rengo Packaging Ltd, Sime Rengo Packaging Ltd对面
21211,Opp Lakepoint Condo, Lakepoint Condo对面
21219,Lakepoint Condo, Lakepoint Condo
21229,Opp S'Pore A'Space Mfg, Opp S'pore Aerospace Mfg
21231,Blk 203, 大牌203
21239,Opp Blk 203, 大牌203对面
21241,Opp Blk 213, 大牌220
21249,Blk 213, 大牌213
21251,Sime Darby, Sime Darby
21259,Opp Sime Darby, Sime Darby对面
21261,AFT CHIN BEE AVE, Bef Smithkline
21269,Bef Chin Bee Ave, 大牌53
21271,Opp Assyakirin Mque, Assyakirin Mque对面
21279,Assyakirin Mque, Assyakirin Mque
21291,Aft Jln Buroh, Bilcon Ind对面
21299,Bef Jln Buroh, Bilcon Ind对面
21301,Opp Jln Pesawat, Jln Pesawat对面
21309,Aft Jln Pesawat, Jln Pesawat对面
21311,Bef Tractor Rd, Tractor Rd对面
21319,Opp Tractor Rd, Tractor Rd对面
21321,BRC Weld Mesh Fty, BRC Weld Mesh Fty
21329,Opp BRC Weld Mesh Fty, BRC Weld Mesh Fty对面
21331,Opp Premier Milk Pte Ltd, Premier Milk Pte Ltd对面
21339,Premier Milk Pte Ltd, Premier Milk Pte Ltd
21341,Opp Beecham Pte Ltd, Opp Beecham Pte Ltd
21349,Beecham Pte Ltd, Pte Ltd对面
21351,BEF BOON LAY WAY, Chartered Ind对面
21359,AFT ST KINETICS, Chartered Ind
21361,Blk 695, 大牌695
21369,Opp Blk 695, 大牌695对面
21371,Blk 680C, 大牌680C
21379,Blk 263, 大牌263
21381,ST. JOSEPH'S HME, 大牌Home对面
21389,OPP ST. JOSEPH'S HME, Opp St. Joseph's Home
21391,River Valley High Sch, 立化中学
21399,Opp River Valley High Sch, 立化中学对面
21409,Blk 191, 大牌191
21411,Opp Blk 188, 大牌188对面
21419,Blk 188, 大牌188
21421,Blk 176, 大牌176
21429,Blk 185, 大牌185
21431,Blk 210, 大牌210
21439,Boon Lay CC, 文礼俱乐部
21441,Blk 207, 大牌207
21449,Boon Lay Shop Ctr, 文礼商场
21451,Blk 206, 大牌206
21459,Blk 209, 大牌209
21461,BEF TUKANG INNOVATION DR, Bef Lor Tukang Lima
21469,Bef Chia Ping Rd, Bef Chia Ping Rd
21471,AFT TUKANG INNOVATION DR, 义顺2道之后
21479,Hup Leck Heavy Equipment, Hup Leck Heavy Equipment
21481,GRUNDFOS, Bef Lor Tukang Dua
21489,OPP GRUNDFOS, Ray Lee对面
21491,Bef Boon Lay Way, Bef Boon Lay Way
21499,Bef Jln Tukang, Jln Tukang对面
21501,Bef Meiji Seika, Premier Milk Pte Ltd
21509,Opp Meiji Seika, Meiji Seika对面
21511,Opp Amoy Canning, Amoy Canning对面
21519,Amoy Canning, Amoy Canning
21521,PB Packaging Systems, 大牌Systems对面
21529,Opp Grandluxe, Opp Grandluxe
21531,Clariant S'pore, Clariant S'pore
21539,Opp Kaily Packaging, Kaily Packaging对面
21541,Jurong Futsal Ctr, Jurong Town Swim Cplx
21549,Automotive Technology, Automotive Technology
21551,Blk 151, 大牌151
21559,CISCO Recall, 大牌Recall
21561,Blk 158, 大牌158
21569,Opp Blk 158, 大牌158对面
21571,Opp Jurong Sec Sch, Opp Jurong Sec Sch
21579,Jurong Sec Sch, Sec Sch对面
21581,Blk 65, 大牌65
21589,Opp Blk 65, 大牌103
21591,Opp Blk 117, 大牌117对面
21599,Blk 117, 大牌117
21601,Blk 357, 大牌357
21609,Opp Blk 364, 大牌364对面
21611,Blk 367, 大牌367
21619,AFT CORP RD, Corporation Rd对面
21621,Blk 354, 大牌354
21629,Blk 334, 大牌334
21631,Blk 115/Opp Japanese Gdn, Japanese Gdn对面
21639,Japanese Gdn/Opp Blk 115, Japanese Gdn
21641,Opp Lakeside Apt, Lakeside Apt对面
21649,Lakeside Apt, Lakeside Apt
21651,Opp Chinese Gdn, Chinese Gdn对面
21659,Chinese Gdn, Chinese Gdn
21661,Yuan Ching Sec Sch, Yuan Ching Sec Sch
21669,Opp Blk 134D, 大牌134D对面
21671,Blk 331, 大牌331
21679,Blk 329, 大牌329
21681,Opp Blk 200, 大牌200对面
21689,Blk 200, 大牌200
21691,Opp Jurong Fire Stn, 裕廊消防站对面
21699,Jurong Fire Stn, 裕廊消防站车站
21711,Bet Blks 523/525, 大牌525对面
21719,Opp Blk 529, 大牌529对面
21751,Jurong Sec Sch, Sec Sch对面
21759,Opp Jurong Sec Sch, Opp Jurong Sec Sch
21761,Blk 138B, 大牌138B
21769,Opp Blk 138B, 大牌143对面
21771,AFT CORP DR, Corporation Dr对面
21779,Aft Yuan Ching Rd, Yuan Ching之后
22009,Boon Lay Int, Lay Int对面
22011,Jurong Bird Pk, Bird Pk对面
22019,Opp Jurong Bird Pk, Opp Jurong Bird Pk
22021,Givaudan, 大牌Givaudan
22029,Opp Givaudan, Opp Givaudan
22031,Bef Pioneer Circus, 大牌Pioneer
22039,Markono Holdings, Markono Holdings
22041,Aft Tg Kling Rd, 义顺2道之后
22049,Bef Tg Kling Rd, Bef Tg Kling Rd
22051,Opp Buroh St, Sembawang Kimtrans对面
22059,Aft Buroh St, Sembawang Kimtrans
22061,Ceva Logistics, Cooling Sys Pte Ltd对面
22069,Opp Ceva Logistics, Cooling Sys Pte Ltd
22071,Bef Jurong Pier Rd, Bef Jurong Pier Rd
22079,Aft Jurong Pier Rd, 义顺2道之后
22081,Opp Natsteel, Opp Natsteel
22089,Natsteel, 大牌Natsteel
22091,Aft Jln Samulun, Jln Samulun对面
22099,Bef Jln Samulun, Jln Samulun对面
22141,Aft Jln Buroh, Jln Buroh对面
22149,Bef Jln Buroh, Jln Buroh对面
22151,Hitachi, 大牌Hitachi
22159,Opp Hitachi, Opp Hitachi
22161,Aft Lok Yang Way, Lok Yang之后
22169,Aft Intl Rd, Intl Rd对面
22171,Opp Secura S'pore, Secura S'pore对面
22179,Bef Secura, Bef Secura
22181,S'pore Post, S'pore Post
22189,Pioneer Junction, Pioneer Junction
22191,Soon Lee Depot, Lee Depot对面
22199,Opp Soon Lee Depot, Opp Soon Lee Depot
22219,Aft Neythal Rd, Neythal Rd对面
22221,Aft Pioneer Rd Nth, 义顺2道之后
22229,Bef Pioneer Rd Nth, Bef Pioneer Rd Nth
22231,Blk 639, 大牌639
22239,Blk 624, 大牌624
22241,Opp Blk 622, 大牌622对面
22249,Blk 622, 大牌622
22251,Blk 665A, 大牌665A
22259,Blk 668D, 大牌668D
22271,Bef Kwong Min Rd, 大牌Jessen对面
22281,Aft Soon Lee Rd, Soon Lee之后
22289,Bef Fan Yoong Rd, Bef Fan Yoong Rd
22299,Bef Soon Lee Rd, Mee Trading对面
22309,Aft Fan Yoong Rd, 义顺2道之后
22319,Bef Enterprise Rd, Chun Mfg对面
22329,Opp Sam Mccoy Engrg, Opp Sam McCoy Engrg
22331,Jurong Shipyard, Jurong Shipyard
22341,Blk 673C, 大牌673C
22349,Blk 734 CP, 大牌CP对面
22351,Opp Blk 717, 大牌717对面
22359,Blk 717, 大牌717
22361,Blk 641, 大牌641
22369,Blk 704, 大牌704
22391,Bef Jln Buroh, Jln Buroh对面
22399,Aft Jln Buroh, Jln Buroh对面
22401,Aft Shipyard Rd, Shipyard Rd对面
22409,Bef Shipyard Rd, Shipyard Rd对面
22411,Blk 676B, 大牌676B
22419,Jurong West Sub-Stn, 大牌Stn对面
22421,Natl Oxygen Pte Ltd, Natl Oxygen Pte Ltd
22429,Opp Natl Oxygen Pte Ltd, Natl Oxygen Pte Ltd对面
22431,Opp Four Leaves, Par Investment对面
22439,Aft Four Leaves, Par Investment对面
22441,Blk 669 CP, 大牌CP对面
22449,Blk 685B, 大牌685B
22451,Opp Blk 643, 大牌643对面
22459,Blk 643, 大牌643
22461,Opp Blk 653B, 大牌653B对面
22469,Blk 653B, 大牌653B
22471,Bef Jurong West St 93, Jurong West St 93对面
22479,Aft Jurong West St 93, Jurong West St 93对面
22481,Blk 691A CP, 大牌CP对面
22489,Blk 683A, 大牌683A
22491,Blk 662D, 大牌662D
22499,Opp Blk 662C, 大牌662C对面
22501,Blk 662A, 大牌662A
22509,Blk 664C, 大牌664C
22511,Blk 658C, 大牌658C
22519,Blk 608, 大牌608
22521,Pioneer Stn Exit A, 大牌651A
22529,Pioneer Stn Exit B, 大牌649A
22531,Opp Jurong West Pr Sch, Jurong West Pr Sch对面
22539,Jurong West Pr Sch, Jurong West Pr Sch
22541,Blk 655, 大牌655
22549,Opp Blk 655 CP, 大牌655 CP对面
22551,Blk 657, 大牌657
22559,Opp Blk 657 CP, 大牌657 CP对面
22561,Blk 660, 大牌660
22569,Opp Blk 660 CP, 大牌660 CP对面
22571,Opp Boon Lay Stn, 文礼车站对面
22591,Blk 670A, 大牌670A
22599,Blk 678D, 大牌678D
22609,Soon Lee Bus Pk, Soon Lee Bus Pk
23011,Carrier Transicold Pte Ltd, Carrier Transicold Pte Ltd
23019,Nippon Paint, Nippon Paint
23021,Aft Benoi Sector, Benoi Sector对面
23029,Stamford Tyre, Stamford Tyre
23031,Bef Benoi Flyover, Benoi Flyover对面
23039,Aft Benoi Flyover, Benoi Flyover对面
23041,Opp Jurong Camp, Jurong Camp对面
23049,Jurong Camp, Jurong Camp
23051,Bef Kian Teck Rd, Bef Kian Teck Rd
23059,Aft Kian Teck Rd, Kian Teck之后
23061,Aft Kian Teck Rd, Kian Teck之后
23069,Bef Kian Teck Rd, Bef Kian Teck Rd
23071,Opp SAFTI Military Inst, Opp SAFTI Military Inst
23079,SAFTI Military Inst, 大牌Inst对面
23081,Opp S'pore Discovery Ctr, Opp S'pore Discovery Ctr
23089,S'pore Discovery Ctr, Discovery Ctr对面
23091,Nippon, 大牌Nippon
23099,Bef First Lok Yang Rd, First Lok Yang Rd对面
23101,Auto World Care, World Care对面
23109,Aft Third Lok Yang Rd, Third Lok Yang Rd对面
23111,Bef Fourth Lok Yang Rd, Fourth Lok Yang Rd对面
23119,Aft Fourth Lok Yang Rd, Fourth Lok Yang Rd对面
23121,Opp Leroy-Somer, Leroy-Somer对面
23129,Leroy-Somer, Leroy-Somer
23131,MES Logistic Hub, 大牌Hub对面
23139,Bef Lok Yang Way, Bef Lok Yang Way
23141,Opp Varco, Opp Varco
23149,Varco, 大牌Varco
23151,Containers Printers, Containers Printers
23159,Aft Fifth Lok Yang Rd, Fifth Lok Yang Rd对面
23161,Aft Kian Teck Rd, 义顺2道之后
23169,Bef Kian Teck Rd, Bef Kian Teck Rd
23171,SKK (S) Pte Ltd, SKK (S) Pte Ltd
23179,Aft Second Lok Yang Rd, Second Lok Yang Rd对面
23181,Aft Kian Teck Rd, 义顺2道之后
23189,Bef First Lok Yang Rd, First Lok Yang Rd对面
23191,Opp S'pore Tpt Pte Ltd, 新加坡Tpt Pte Ltd对面
23199,S'pore Tpt Pte Ltd, 新加坡Tpt Pte Ltd
23201,Opp Shimano Pte Ltd, Shimano Pte Ltd对面
23209,Aft Shimano Pte Ltd, Shimano Pte Ltd之后
23211,Mapletree Logistics Hub, Mapletree Logistics Hub
23219,Tru-Marine, Tru-Marine
23221,Aft Gul Way, Gul Way对面
23229,Opp Gul Way, Gul Way对面
23231,Keppel Logistics, Keppel Logistics
23239,Opp Keppel Logistics, Keppel Logistics对面
23241,Aft Benoi Rd, Benoi Rd对面
23249,Bef Benoi Rd, Benoi Rd对面
23251,Aft Shipyard Rd, Shipyard Rd对面
23259,Bef Shipyard Rd, Shipyard Rd对面
23261,Opp Exxon Mobil, 埃克森美孚对面
23269,Exxon Mobil, 埃克森美孚
23279,Bef Benoi Sector, Benoi Sector对面
23281,Aft Pioneer Rd, 先驱路之后
23291,ST Marine, ST Marine
23301,Bef Benoi Basin, 费耐水槽之前
23311,Keppel Shipyard, Keppel船厂
23321,Bef Benoi Lane, 费耐线之前
23331,Opp JP Nelson, JP Nelson对面
23341,Aft Pioneer Rd, 先驱路之后
23349,Bef Pioneer Rd, 先驱路之前
23351,Aft Gul Ave, Gul Ave之后
23359,Opp Gul Ave, Gul Ave对面
23361,Opp Keppel Logistics, Keppel Logistics对面
23369,Keppel Logistics, Keppel Logistics
23371,Bef Joo Koon Int, 裕群车站之前
23379,Opp Joo Koon Int, 裕群车站对面
23389,PEC Ltd, 大牌Ltd
23399,Keppel Offshore & Marine, Keppel Offshore & Marine
23409,Mobil Marine Ter, Marine Ter对面
23419,Bef Shipyard Cres, Shipyard Cres对面
23429,Opp EMAS Marine Base, Opp EMAS Marine Base
23439,Opp SML Shipyard Ltd, Opp SML Shipyard Ltd
23441,Opp Benoi Pl, 费耐Pl对面
23449,Benoi Pl, 费耐Pl
23451,Jurong Shipyard, Jurong Shipyard
23461,Tanoto Shipyard, Pte Ltd对面
23469,Opp Tanoto Shipyard, Opp Selco Pte Ltd
23471,Aft Benoi Rd, 费耐路之后
23479,Bef Benoi Rd, 费耐路之前
23481,Molex, 大牌Molex
23489,Opp Molex, Opp Molex
23491,Joo Koon Stn Exit B, Koon Stn对面
23499,Joo Koon Stn Exit A, Koon Stn对面
23501,Aft Pioneer Rd Nth, Pioneer Rd之后
23509,Hoe Keng Motor, Keng Motor对面
23519,Opp FairPrice Hub, FairPrice Hub对面
24009,Joo Koon Int, Koon Int对面
24011,M.C. Packaging Pte Ltd, C. Packaging Pte之后
24019,Liang Huat Ind Cplx, Liang Huat Ind Cplx
24021,Meritor Heavy Veh Systems, Meritor Heavy Veh Systems
24029,Mazak S'pore, Mazak S'pore
24041,Opp Pasir Laba Camp, Opp Pasir Laba Camp
24049,Pasir Laba Camp, Laba Camp对面
24089,Aft Gul Ave, Gul Ave对面
